SecurityID,TradingTime,CommissionOrderNo,CommissionPx,COmmissionAmount,TradeMark,OrderCategory,CommissionNo,ChannelNo,SerialNo
600519,2023-03-21 09:15:01.080,11273,1844.0,100,S,A,91840,6,105083
600519,2023-03-21 09:15:01.080,11293,1854.0,100,S,A,91841,6,105084
600519,2023-03-21 09:15:01.080,11327,1864.0,100,S,A,91842,6,105085
600519,2023-03-21 09:15:01.170,11579,1824.0,100,S,A,91843,6,105086
600519,2023-03-21 09:15:01.170,11597,1650.77,100,B,A,91844,6,105087
600519,2023-03-21 09:15:01.170,11624,1765.0,100,S,A,91845,6,105088
600519,2023-03-21 09:15:01.170,11684,1690.9,100,B,A,91846,6,105089
600519,2023-03-21 09:15:01.170,11822,1902.56,100,S,A,91847,6,105090
600519,2023-03-21 09:15:01.170,12119,1902.56,100,S,A,91848,6,105091
600519,2023-03-21 09:15:01.170,12636,1729.6,100,S,A,91849,6,105092
600519,2023-03-21 09:15:01.250,13881,1800.0,100,S,A,91850,6,105093
600519,2023-03-21 09:15:01.250,13895,1838.0,100,S,A,91851,6,105094
600519,2023-03-21 09:15:01.250,14176,1752.0,100,S,A,91852,6,105095
600519,2023-03-21 09:15:01.250,14241,1801.0,100,S,A,91853,6,105096
600519,2023-03-21 09:15:01.250,14333,1711.0,100,B,A,91854,6,105097
600519,2023-03-21 09:15:01.250,14356,1705.0,100,B,A,91855,6,105098
600519,2023-03-21 09:15:01.250,14357,1701.0,100,B,A,91856,6,105099
600519,2023-03-21 09:15:01.340,14361,1721.0,100,B,A,91857,6,105100
600519,2023-03-21 09:15:01.340,14376,1715.0,100,B,A,91858,6,105101
600519,2023-03-21 09:15:01.440,16329,1751.0,300,S,A,91859,6,105102
600519,2023-03-21 09:15:01.440,16551,1900.0,100,S,A,91860,6,105103
600519,2023-03-21 09:15:01.440,16927,1749.0,100,S,A,91861,6,105104
600519,2023-03-21 09:15:01.440,17371,1828.0,100,S,A,91862,6,105105
600519,2023-03-21 09:15:01.440,17372,1877.0,100,S,A,91863,6,105106
600519,2023-03-21 09:15:01.440,17375,1702.0,100,B,A,91864,6,105107
600519,2023-03-21 09:15:01.440,17376,1666.0,100,B,A,91865,6,105108
600519,2023-03-21 09:15:01.440,17912,1803.0,100,S,A,91866,6,105109
600519,2023-03-21 09:15:01.440,18144,1880.0,100,S,A,91867,6,105110
600519,2023-03-21 09:15:01.440,18174,1701.0,100,B,A,91868,6,105111
600519,2023-03-21 09:15:01.550,18447,1738.0,100,B,A,91869,6,105112
600519,2023-03-21 09:15:01.550,18691,1700.0,100,B,A,91870,6,105113
600519,2023-03-21 09:15:01.550,18946,1766.16,100,B,A,91871,6,105114
600519,2023-03-21 09:15:01.550,19198,1900.0,100,S,A,91872,6,105115
600519,2023-03-21 09:15:01.550,19956,1661.21,100,B,A,91873,6,105116
600519,2023-03-21 09:15:01.680,20588,1768.0,300,S,A,91874,6,105117
600519,2023-03-21 09:15:01.680,21290,1745.0,100,S,A,91875,6,105118
600519,2023-03-21 09:15:01.680,21375,1748.0,100,S,A,91876,6,105119
600519,2023-03-21 09:15:01.680,21552,1747.0,100,S,A,91877,6,105120
600519,2023-03-21 09:15:01.680,21921,1800.0,100,S,A,91878,6,105121
600519,2023-03-21 09:15:01.810,22336,1662.12,300,B,A,91879,6,105122
600519,2023-03-21 09:15:01.810,22337,1611.11,600,B,A,91880,6,105123
600519,2023-03-21 09:15:01.810,23737,1769.0,100,S,A,91881,6,105124
600519,2023-03-21 09:15:01.920,24386,1769.88,100,S,A,91882,6,105125
600519,2023-03-21 09:15:01.920,25512,1715.0,100,B,A,91883,6,105126
600519,2023-03-21 09:15:01.920,25518,1749.5,50,S,A,91884,6,105127
600519,2023-03-21 09:15:01.920,25621,1744.99,100,S,A,91885,6,105128
600519,2023-03-21 09:15:02.030,26210,1661.16,100,B,A,91886,6,105129
600519,2023-03-21 09:15:02.030,26484,1770.0,100,S,A,91887,6,105130
600519,2023-03-21 09:15:02.030,26583,1745.6,100,S,A,91888,6,105131
600519,2023-03-21 09:15:02.030,26692,1700.01,100,B,A,91889,6,105132
600519,2023-03-21 09:15:02.030,27099,1708.88,100,B,A,91890,6,105133
600519,2023-03-21 09:15:02.030,27846,1765.0,100,S,A,91891,6,105134
600519,2023-03-21 09:15:02.030,27923,1902.56,100,S,A,91892,6,105135
600519,2023-03-21 09:15:02.160,28462,1689.0,100,B,A,91893,6,105136
600519,2023-03-21 09:15:02.160,28705,1746.06,100,S,A,91894,6,105137
600519,2023-03-21 09:15:02.160,28707,1756.06,100,S,A,91895,6,105138
600519,2023-03-21 09:15:02.160,28713,1719.96,100,B,A,91896,6,105139
600519,2023-03-21 09:15:02.160,28720,1698.98,100,B,A,91897,6,105140
600519,2023-03-21 09:15:02.160,28916,1852.53,100,S,A,91898,6,105141
600519,2023-03-21 09:15:02.160,28956,1899.0,100,S,A,91899,6,105142
600519,2023-03-21 09:15:02.160,28975,1755.0,100,S,A,91900,6,105143
600519,2023-03-21 09:15:02.160,29009,1800.0,1900,S,A,91901,6,105144
600519,2023-03-21 09:15:02.160,29010,1800.0,1300,S,A,91902,6,105145
600519,2023-03-21 09:15:02.160,29016,1775.0,200,S,A,91903,6,105146
600519,2023-03-21 09:15:02.160,29105,1700.01,100,B,A,91904,6,105147
600519,2023-03-21 09:15:02.160,29143,1870.0,400,S,A,91905,6,105148
600519,2023-03-21 09:15:02.160,29194,1899.0,100,S,A,91906,6,105149
600519,2023-03-21 09:15:02.160,29195,1899.0,100,S,A,91907,6,105150
600519,2023-03-21 09:15:02.160,29570,1788.0,100,S,A,91908,6,105151
600519,2023-03-21 09:15:02.160,29615,1765.0,100,S,A,91909,6,105152
600519,2023-03-21 09:15:02.160,29748,1677.71,100,B,A,91910,6,105153
600519,2023-03-21 09:15:02.160,30078,1745.6,100,S,A,91911,6,105154
600519,2023-03-21 09:15:02.300,30260,1650.0,100,B,A,91912,6,105155
600519,2023-03-21 09:15:02.300,30941,1706.66,100,B,A,91913,6,105156
600519,2023-03-21 09:15:02.300,30979,1750.0,200,S,A,91914,6,105157
600519,2023-03-21 09:15:02.300,31005,1819.56,100,S,A,91915,6,105158
600519,2023-03-21 09:15:02.300,31125,1676.66,100,B,A,91916,6,105159
600519,2023-03-21 09:15:02.300,31287,1765.0,100,S,A,91917,6,105160
600519,2023-03-21 09:15:02.300,31485,1780.0,100,S,A,91918,6,105161
600519,2023-03-21 09:15:02.300,31759,1667.78,100,B,A,91919,6,105162
600519,2023-03-21 09:15:02.430,32406,1795.0,100,S,A,91920,6,105163
600519,2023-03-21 09:15:02.430,32567,1720.0,100,B,A,91921,6,105164
600519,2023-03-21 09:15:02.430,32568,1700.0,100,B,A,91922,6,105165
600519,2023-03-21 09:15:02.430,32577,1763.0,100,S,A,91923,6,105166
600519,2023-03-21 09:15:02.430,32578,1773.0,100,S,A,91924,6,105167
600519,2023-03-21 09:15:02.430,32579,1793.0,100,S,A,91925,6,105168
600519,2023-03-21 09:15:02.430,32580,1813.0,100,S,A,91926,6,105169
600519,2023-03-21 09:15:02.430,32581,1833.0,100,S,A,91927,6,105170
600519,2023-03-21 09:15:02.430,32582,1843.0,100,S,A,91928,6,105171
600519,2023-03-21 09:15:02.430,32745,1765.0,100,S,A,91929,6,105172
600519,2023-03-21 09:15:02.430,33084,1814.0,200,S,A,91930,6,105173
600519,2023-03-21 09:15:02.430,33365,1749.99,100,S,A,91931,6,105174
600519,2023-03-21 09:15:02.540,34788,1839.0,100,S,A,91932,6,105175
600519,2023-03-21 09:15:02.540,34881,1750.0,100,S,A,91933,6,105176
600519,2023-03-21 09:15:02.540,35228,1818.0,100,S,A,91934,6,105177
600519,2023-03-21 09:15:02.540,35260,1763.35,100,S,A,91935,6,105178
600519,2023-03-21 09:15:02.670,36070,1824.98,100,S,A,91936,6,105179
600519,2023-03-21 09:15:02.710,36571,1820.0,100,S,A,91937,6,105180
600519,2023-03-21 09:15:02.710,36626,1810.0,100,S,A,91938,6,105181
600519,2023-03-21 09:15:02.850,38538,1764.2,100,S,A,91939,6,105182
600519,2023-03-21 09:15:02.850,38539,1781.49,100,S,A,91940,6,105183
600519,2023-03-21 09:15:02.850,38704,1769.0,100,S,A,91941,6,105184
600519,2023-03-21 09:15:02.850,39133,1588.0,200,B,A,91942,6,105185
600519,2023-03-21 09:15:02.850,39198,1800.0,100,S,A,91943,6,105186
600519,2023-03-21 09:15:02.850,39684,1695.0,100,B,A,91944,6,105187
600519,2023-03-21 09:15:02.850,39717,1699.0,100,B,A,91945,6,105188
600519,2023-03-21 09:15:02.850,39785,1800.0,300,S,A,91946,6,105189
600519,2023-03-21 09:15:02.850,39790,1643.12,200,S,A,91947,6,105190
600519,2023-03-21 09:15:02.850,39855,1720.0,100,B,A,91948,6,105191
600519,2023-03-21 09:15:02.850,39952,1815.3,100,S,A,91949,6,105192
600519,2023-03-21 09:15:02.850,39953,1715.0,100,B,A,91950,6,105193
600519,2023-03-21 09:15:02.850,39954,1837.3,100,S,A,91951,6,105194
600519,2023-03-21 09:15:02.850,40018,1859.3,100,S,A,91952,6,105195
600519,2023-03-21 09:15:02.850,40036,1881.3,100,S,A,91953,6,105196
600519,2023-03-21 09:15:02.850,40038,1900.0,100,S,A,91954,6,105197
600519,2023-03-21 09:15:02.850,40052,1902.56,100,B,A,91955,6,105198
600519,2023-03-21 09:15:02.990,40548,1711.0,100,B,A,91956,6,105199
600519,2023-03-21 09:15:02.990,41098,1784.88,2100,S,A,91957,6,105200
600519,2023-03-21 09:15:02.990,41327,1753.0,100,S,A,91958,6,105201
600519,2023-03-21 09:15:02.990,41881,1698.08,100,B,A,91959,6,105202
600519,2023-03-21 09:15:02.990,41882,1680.98,100,B,A,91960,6,105203
600519,2023-03-21 09:15:03.110,42166,1768.68,100,S,A,91961,6,105204
600519,2023-03-21 09:15:03.110,42167,1768.68,100,S,A,91962,6,105205
600519,2023-03-21 09:15:03.110,42735,1747.77,100,S,A,91963,6,105206
600519,2023-03-21 09:15:03.110,42739,1811.11,100,S,A,91964,6,105207
600519,2023-03-21 09:15:03.110,42974,1718.0,200,B,A,91965,6,105208
600519,2023-03-21 09:15:03.110,43325,1650.03,100,B,A,91966,6,105209
600519,2023-03-21 09:15:03.110,43340,1788.88,100,S,A,91967,6,105210
600519,2023-03-21 09:15:03.110,43818,1751.0,100,S,A,91968,6,105211
600519,2023-03-21 09:15:03.110,43821,1746.0,100,S,A,91969,6,105212
600519,2023-03-21 09:15:03.230,44170,1790.0,200,S,A,91970,6,105213
600519,2023-03-21 09:15:03.230,44179,1745.0,100,S,A,91971,6,105214
600519,2023-03-21 09:15:03.230,44220,1759.0,200,S,A,91972,6,105215
600519,2023-03-21 09:15:03.230,44321,1780.02,300,S,A,91973,6,105216
600519,2023-03-21 09:15:03.230,44593,1755.0,100,S,A,91974,6,105217
600519,2023-03-21 09:15:03.230,44975,1600.0,100,B,A,91975,6,105218
600519,2023-03-21 09:15:03.230,45019,1710.0,100,B,A,91976,6,105219
600519,2023-03-21 09:15:03.230,45021,1755.0,200,S,A,91977,6,105220
600519,2023-03-21 09:15:03.230,45414,1750.0,200,S,A,91978,6,105221
600519,2023-03-21 09:15:03.230,45781,1799.89,300,S,A,91979,6,105222
600519,2023-03-21 09:15:03.230,45847,1800.0,100,S,A,91980,6,105223
600519,2023-03-21 09:15:03.230,45848,1780.0,100,S,A,91981,6,105224
600519,2023-03-21 09:15:03.370,46080,1861.0,100,S,A,91982,6,105225
600519,2023-03-21 09:15:03.370,46085,1712.69,100,B,A,91983,6,105226
600519,2023-03-21 09:15:03.370,46086,1745.69,100,S,A,91984,6,105227
600519,2023-03-21 09:15:03.370,46408,1800.0,100,S,A,91985,6,105228
600519,2023-03-21 09:15:03.370,46424,1755.0,100,S,A,91986,6,105229
600519,2023-03-21 09:15:03.370,46994,1722.22,100,B,A,91987,6,105230
600519,2023-03-21 09:15:03.370,46995,1702.22,200,B,A,91988,6,105231
600519,2023-03-21 09:15:03.370,47225,1800.0,100,S,A,91989,6,105232
600519,2023-03-21 09:15:03.370,47226,1790.0,100,S,A,91990,6,105233
600519,2023-03-21 09:15:03.370,47227,1780.0,100,S,A,91991,6,105234
600519,2023-03-21 09:15:03.370,47345,1743.0,100,S,A,91992,6,105235
600519,2023-03-21 09:15:03.370,47354,1749.49,100,S,A,91993,6,105236
600519,2023-03-21 09:15:03.370,47365,1880.0,100,S,A,91994,6,105237
600519,2023-03-21 09:15:03.370,47506,1770.0,100,S,A,91995,6,105238
600519,2023-03-21 09:15:03.500,48279,1753.0,100,S,A,91996,6,105239
600519,2023-03-21 09:15:03.500,48366,1799.0,100,S,A,91997,6,105240
600519,2023-03-21 09:15:03.500,49614,1794.47,100,S,A,91998,6,105241
600519,2023-03-21 09:15:03.500,49686,1742.0,100,S,A,91999,6,105242
600519,2023-03-21 09:15:03.500,49752,1798.88,200,S,A,92000,6,105243
600519,2023-03-21 09:15:03.500,49796,1701.99,300,B,A,92001,6,105244
600519,2023-03-21 09:15:03.500,49799,1899.99,300,S,A,92002,6,105245
600519,2023-03-21 09:15:03.500,49800,1849.99,300,S,A,92003,6,105246
600519,2023-03-21 09:15:03.500,49937,1902.55,100,S,A,92004,6,105247
600519,2023-03-21 09:15:03.630,50049,1800.0,100,S,A,92005,6,105248
600519,2023-03-21 09:15:03.630,50240,1770.0,100,S,A,92006,6,105249
600519,2023-03-21 09:15:03.630,51527,1902.56,100,S,A,92007,6,105250
600519,2023-03-21 09:15:03.630,51535,1710.0,100,B,A,92008,6,105251
600519,2023-03-21 09:15:03.630,51915,1850.0,100,S,A,92009,6,105252
600519,2023-03-21 09:15:03.750,52021,1902.0,100,S,A,92010,6,105253
600519,2023-03-21 09:15:03.750,52224,1666.0,100,B,A,92011,6,105254
600519,2023-03-21 09:15:03.750,52685,1778.0,200,S,A,92012,6,105255
600519,2023-03-21 09:15:03.750,52686,1828.0,200,S,A,92013,6,105256
600519,2023-03-21 09:15:03.750,52687,1878.0,200,S,A,92014,6,105257
600519,2023-03-21 09:15:03.750,52978,1718.0,100,B,A,92015,6,105258
600519,2023-03-21 09:15:03.750,53055,1902.56,100,S,A,92016,6,105259
600519,2023-03-21 09:15:03.750,53190,1714.01,100,B,A,92017,6,105260
600519,2023-03-21 09:15:03.750,53334,1745.0,100,S,A,92018,6,105261
600519,2023-03-21 09:15:03.750,53382,1701.0,100,B,A,92019,6,105262
600519,2023-03-21 09:15:03.750,53415,1788.0,100,S,A,92020,6,105263
600519,2023-03-21 09:15:03.750,53829,1740.98,300,S,A,92021,6,105264
600519,2023-03-21 09:15:03.750,53850,1739.98,300,S,A,92022,6,105265
600519,2023-03-21 09:15:03.890,53999,1710.0,200,B,A,92023,6,105266
600519,2023-03-21 09:15:03.890,54725,1810.1,100,S,A,92024,6,105267
600519,2023-03-21 09:15:03.890,54781,1902.56,100,S,A,92025,6,105268
600519,2023-03-21 09:15:03.890,55053,1778.0,100,S,A,92026,6,105269
600519,2023-03-21 09:15:03.890,55105,1740.0,100,S,A,92027,6,105270
600519,2023-03-21 09:15:03.890,55273,1717.77,100,B,A,92028,6,105271
600519,2023-03-21 09:15:03.890,55640,1678.0,300,B,A,92029,6,105272
600519,2023-03-21 09:15:03.890,55641,1628.0,300,B,A,92030,6,105273
600519,2023-03-21 09:15:03.890,55642,1578.0,300,B,A,92031,6,105274
600519,2023-03-21 09:15:04.030,56216,1746.68,100,S,A,92032,6,105275
600519,2023-03-21 09:15:04.030,56235,1660.0,100,B,A,92033,6,105276
600519,2023-03-21 09:15:04.030,56249,1749.11,100,S,A,92034,6,105277
600519,2023-03-21 09:15:04.030,56338,1700.0,100,B,A,92035,6,105278
600519,2023-03-21 09:15:04.030,56368,1755.6,100,S,A,92036,6,105279
600519,2023-03-21 09:15:04.030,56369,1779.6,100,S,A,92037,6,105280
600519,2023-03-21 09:15:04.030,56424,1698.0,100,B,A,92038,6,105281
600519,2023-03-21 09:15:04.030,57146,1768.35,100,S,A,92039,6,105282
600519,2023-03-21 09:15:04.160,57789,1815.14,100,S,A,92040,6,105283
600519,2023-03-21 09:15:04.160,58911,1720.0,100,B,A,92041,6,105284
600519,2023-03-21 09:15:04.160,59353,1778.0,100,S,A,92042,6,105285
600519,2023-03-21 09:15:04.160,59354,1828.0,100,S,A,92043,6,105286
