TradingTime,SecurityID,CommissionOrderNo,CommissionPx,COmmissionAmount,TradeMark,OrderCategory,CommissionNo,ChannelNo,SerialNo
2023-03-21 09:15:00,600519.0,8259.0,1769.6,100.0,S,A,91821.0,6.0,105064.0
2023-03-21 09:15:01,600519.0,25621.0,1744.99,100.0,S,A,91885.0,6.0,105128.0
2023-03-21 09:15:02,600519.0,41882.0,1680.98,100.0,B,A,91960.0,6.0,105203.0
2023-03-21 09:15:03,600519.0,55642.0,1578.0,300.0,B,A,92031.0,6.0,105274.0
2023-03-21 09:15:04,600519.0,70762.0,1784.0,100.0,S,A,92099.0,6.0,105342.0
2023-03-21 09:15:05,600519.0,83026.0,1819.0,100.0,S,A,92142.0,6.0,105385.0
2023-03-21 09:15:06,600519.0,95195.0,1748.0,100.0,S,A,92202.0,6.0,105445.0
2023-03-21 09:15:07,600519.0,108260.0,1755.0,100.0,S,A,92321.0,6.0,105564.0
2023-03-21 09:15:08,600519.0,115642.0,1753.0,100.0,S,A,92370.0,6.0,105613.0
2023-03-21 09:15:09,600519.0,120344.0,1729.0,100.0,S,A,92398.0,6.0,105641.0
2023-03-21 09:15:10,600519.0,124419.0,1702.0,100.0,B,A,92414.0,6.0,105657.0
2023-03-21 09:15:11,600519.0,127151.0,1738.0,100.0,B,A,92431.0,6.0,105674.0
2023-03-21 09:15:12,600519.0,128849.0,1755.0,100.0,S,A,92437.0,6.0,105680.0
2023-03-21 09:15:13,600519.0,131130.0,1673.6,100.0,B,A,92459.0,6.0,105702.0
2023-03-21 09:15:14,600519.0,132247.0,1902.56,100.0,S,A,92470.0,6.0,105713.0
2023-03-21 09:15:15,600519.0,132592.0,1711.0,900.0,S,A,92472.0,6.0,105715.0
2023-03-21 09:15:18,600519.0,133186.0,1902.56,200.0,B,A,92473.0,6.0,105716.0
2023-03-21 09:15:19,600519.0,131709.0,1556.64,100.0,B,D,92476.0,6.0,105719.0
2023-03-21 09:15:22,600519.0,133511.0,1721.6,5700.0,B,A,92477.0,6.0,105720.0
2023-03-21 09:15:25,600519.0,133851.0,1568.0,200.0,S,A,92479.0,6.0,105722.0
2023-03-21 09:15:28,600519.0,134179.0,1780.0,100.0,S,A,92480.0,6.0,105723.0
2023-03-21 09:15:29,600519.0,134306.0,1738.0,200.0,B,A,92481.0,6.0,105724.0
2023-03-21 09:15:30,600519.0,132592.0,1711.0,900.0,S,D,92482.0,6.0,105725.0
2023-03-21 09:15:31,600519.0,134534.0,1719.6,5100.0,B,A,92483.0,6.0,105726.0
2023-03-21 09:15:33,600519.0,134784.0,1902.56,100.0,B,A,92485.0,6.0,105728.0
2023-03-21 09:15:38,600519.0,135299.0,1709.6,5500.0,B,A,92486.0,6.0,105729.0
2023-03-21 09:15:41,600519.0,135554.0,1643.12,100.0,S,A,92487.0,6.0,105730.0
2023-03-21 09:15:47,600519.0,136270.0,1700.0,100.0,B,A,92489.0,6.0,105732.0
2023-03-21 09:15:48,600519.0,136392.0,1900.0,200.0,S,A,92492.0,6.0,105735.0
2023-03-21 09:15:49,600519.0,136433.0,1730.0,100.0,B,A,92494.0,6.0,105737.0
2023-03-21 09:15:52,600519.0,136821.0,1699.9,7400.0,B,A,92495.0,6.0,105738.0
2023-03-21 09:15:57,600519.0,137365.0,1751.17,100.0,S,A,92496.0,6.0,105739.0
2023-03-21 09:16:00,600519.0,137622.0,1692.48,100.0,B,A,92498.0,6.0,105741.0
