timestamp,limit_buy_n,limit_buy_volume,market_buy_n,market_buy_volume,withdraw_buy_n,withdraw_buy_volume,limit_sell_n,limit_sell_volume,market_sell_n,market_sell_volume,withdraw_sell_n,withdraw_sell_volume
2023-03-21 09:15:07.330000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-21 09:15:07.700000,0,0,0,0,1,300,0,0,0,0,0,0
2023-03-21 09:15:13.650000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-21 09:15:19.200000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-21 09:15:19.210000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-21 09:15:19.290000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-21 09:15:30.780000,0,0,0,0,0,0,0,0,0,0,1,900
2023-03-21 09:15:33.600000,0,0,0,0,1,200,0,0,0,0,0,0
2023-03-21 09:16:17.800000,0,0,0,0,0,0,0,0,0,0,1,900
2023-03-21 09:16:21.530000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-21 09:16:23.790000,0,0,0,0,0,0,0,0,0,0,1,100
2023-03-21 09:16:39.660000,0,0,0,0,1,900,0,0,0,0,0,0
2023-03-21 09:16:42.990000,0,0,0,0,0,0,0,0,0,0,1,100
2023-03-21 09:17:10.910000,0,0,0,0,0,0,0,0,0,0,1,100
2023-03-21 09:17:25.360000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-21 09:17:36.350000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-21 09:18:28.560000,0,0,0,0,1,200,0,0,0,0,0,0
2023-03-21 09:18:29.200000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-21 09:19:01.350000,0,0,0,0,0,0,0,0,0,0,1,100
2023-03-21 09:25:00.370000,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-21 09:30:00.030000,0,0,0,0,0,0,1,100,0,0,0,0
2023-03-21 09:30:00.070000,0,0,4,700,0,0,4,700,0,0,0,0
2023-03-21 09:30:00.220000,1,100,0,0,0,0,0,0,0,0,0,0
2023-03-21 09:30:00.240000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-21 09:30:00.270000,1,100,0,0,0,0,0,0,0,0,0,0
2023-03-21 09:30:00.820000,1,100,0,0,0,0,0,0,0,0,0,0
2023-03-21 09:30:00.940000,1,100,0,0,0,0,0,0,0,0,0,0
2023-03-21 09:30:01.280000,0,0,0,0,1,100,0,0,0,0,1,100
2023-03-21 09:30:01.350000,0,0,0,0,1,100,0,0,0,0,1,100
2023-03-21 09:30:01.410000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-21 09:30:01.630000,0,0,0,0,1,200,0,0,0,0,0,0
2023-03-21 09:30:01.950000,1,100,0,0,0,0,1,100,0,0,0,0
2023-03-21 09:30:02.090000,2,300,0,0,0,0,0,0,0,0,0,0
2023-03-21 09:30:02.220000,0,0,0,0,0,0,0,0,0,0,1,100
2023-03-21 09:30:02.470000,2,200,0,0,0,0,0,0,0,0,0,0
2023-03-21 09:30:02.600000,1,100,0,0,1,200,0,0,0,0,0,0
2023-03-21 09:30:02.740000,0,0,0,0,1,100,1,100,0,0,0,0
2023-03-21 09:30:02.870000,2,200,0,0,1,200,0,0,0,0,1,100
2023-03-21 09:30:03.000000,0,0,0,0,0,0,1,100,0,0,0,0
2023-03-21 09:30:03.150000,2,200,0,0,0,0,0,0,0,0,2,500
2023-03-21 09:30:03.290000,0,0,0,0,2,200,0,0,0,0,0,0
2023-03-21 09:30:03.590000,0,0,0,0,1,200,0,0,0,0,1,100
2023-03-21 09:30:03.740000,1,100,0,0,0,0,0,0,0,0,0,0
2023-03-21 09:30:03.880000,0,0,0,0,1,100,1,100,0,0,0,0
2023-03-21 09:30:04.080000,0,0,0,0,1,100,2,200,0,0,0,0
2023-03-21 09:30:04.390000,0,0,0,0,0,0,1,100,0,0,1,400
2023-03-21 09:30:04.470000,2,300,0,0,0,0,0,0,0,0,1,100
2023-03-21 09:30:04.610000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-21 09:30:04.740000,2,100,0,0,0,0,1,100,0,0,0,0
2023-03-21 09:30:04.870000,0,0,0,0,2,200,0,0,0,0,0,0
2023-03-21 09:30:05.020000,2,300,0,0,0,0,0,0,0,0,0,0
2023-03-21 09:30:05.170000,0,0,0,0,3,500,0,0,0,0,0,0
2023-03-21 09:30:05.320000,1,100,0,0,0,0,0,0,0,0,0,0
2023-03-21 09:30:05.440000,2,200,0,0,0,0,4,400,0,0,1,100
2023-03-21 09:30:05.570000,3,800,0,0,0,0,0,0,0,0,2,200
2023-03-21 09:30:05.710000,1,100,0,0,1,100,0,0,0,0,1,200
2023-03-21 09:30:05.850000,1,100,0,0,1,100,0,0,0,0,0,0
2023-03-21 09:30:05.980000,3,300,0,0,0,0,0,0,0,0,0,0
2023-03-21 09:30:06.270000,1,100,0,0,0,0,0,0,0,0,0,0
2023-03-21 09:30:06.430000,2,200,0,0,0,0,0,0,0,0,0,0
2023-03-21 09:30:06.570000,1,100,0,0,0,0,1,100,0,0,1,200
