SecurityID,TradingTime,CommissionOrderNo,CommissionPx,COmmissionAmount,TradeMark,OrderCategory,CommissionNo,ChannelNo,SerialNo
600519,2023-03-22 09:15:00.000,10,1750.13,300,B,A,79549,6,91469
600519,2023-03-22 09:15:00.030,171,1810.0,500,S,A,79550,6,91470
600519,2023-03-22 09:15:00.030,183,1788.5,100,S,A,79551,6,91471
600519,2023-03-22 09:15:00.200,462,1710.11,100,B,A,79552,6,91472
600519,2023-03-22 09:15:00.200,464,1952.5,100,S,A,79553,6,91473
600519,2023-03-22 09:15:00.200,613,1750.33,100,B,A,79554,6,91474
600519,2023-03-22 09:15:00.200,700,1730.0,300,B,A,79555,6,91475
600519,2023-03-22 09:15:00.200,737,1925.0,200,S,A,79556,6,91476
600519,2023-03-22 09:15:00.200,753,1798.8,100,S,A,79557,6,91477
600519,2023-03-22 09:15:00.200,756,1808.5,100,S,A,79558,6,91478
600519,2023-03-22 09:15:00.200,990,1735.01,100,B,A,79559,6,91479
600519,2023-03-22 09:15:00.200,1018,1771.5,100,B,A,79560,6,91480
600519,2023-03-22 09:15:00.200,1019,1761.5,100,B,A,79561,6,91481
600519,2023-03-22 09:15:00.200,1020,1751.5,100,B,A,79562,6,91482
600519,2023-03-22 09:15:00.280,1154,1805.01,100,S,A,79563,6,91483
600519,2023-03-22 09:15:00.280,1583,1751.0,100,B,A,79564,6,91484
600519,2023-03-22 09:15:00.280,1670,1852.53,100,S,A,79565,6,91485
600519,2023-03-22 09:15:00.280,1671,1899.0,100,S,A,79566,6,91486
600519,2023-03-22 09:15:00.280,1816,1830.0,100,S,A,79567,6,91487
600519,2023-03-22 09:15:00.320,1886,1751.01,100,B,A,79568,6,91488
600519,2023-03-22 09:15:00.320,2061,1701.11,100,B,A,79569,6,91489
600519,2023-03-22 09:15:00.440,3168,1799.66,100,S,A,79570,6,91490
600519,2023-03-22 09:15:00.440,3182,1835.01,100,S,A,79571,6,91491
600519,2023-03-22 09:15:00.440,3185,1815.3,100,S,A,79572,6,91492
