timestamp,limit_buy_n,limit_buy_volume,market_buy_n,market_buy_volume,withdraw_buy_n,withdraw_buy_volume,limit_sell_n,limit_sell_volume,market_sell_n,market_sell_volume,withdraw_sell_n,withdraw_sell_volume
2023-03-22 09:15:05.860000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:15:07.980000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:15:10.670000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:15:12.330000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:15:13.640000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:15:17.540000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:15:17.550000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:15:17.610000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:15:35.810000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:15:44.500000,0,0,0,0,1,200,0,0,0,0,0,0
2023-03-22 09:16:38.920000,0,0,0,0,0,0,0,0,0,0,1,700
2023-03-22 09:16:55.290000,0,0,0,0,1,400,0,0,0,0,0,0
2023-03-22 09:17:23.430000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:17:50.870000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:18:00.950000,0,0,0,0,0,0,0,0,0,0,1,3100
2023-03-22 09:18:01.000000,0,0,0,0,1,2800,0,0,0,0,1,3100
2023-03-22 09:18:03.950000,0,0,0,0,2,2900,0,0,0,0,0,0
2023-03-22 09:18:03.970000,0,0,0,0,0,0,0,0,0,0,2,3000
2023-03-22 09:18:06.940000,0,0,0,0,2,1700,0,0,0,0,2,1800
2023-03-22 09:18:09.450000,0,0,0,0,0,0,0,0,0,0,1,200
2023-03-22 09:18:09.980000,0,0,0,0,2,1300,0,0,0,0,2,1400
2023-03-22 09:18:12.940000,0,0,0,0,0,0,0,0,0,0,2,1200
2023-03-22 09:18:12.960000,0,0,0,0,1,600,0,0,0,0,0,0
2023-03-22 09:18:29.680000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:18:29.750000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:18:29.810000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:18:29.870000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:18:29.950000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:18:30.040000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:18:30.130000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:18:48.960000,0,0,0,0,0,0,0,0,0,0,1,800
2023-03-22 09:19:22.190000,0,0,0,0,1,900,0,0,0,0,0,0
2023-03-22 09:19:25.740000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:19:30.910000,0,0,0,0,0,0,0,0,0,0,1,100
2023-03-22 09:19:33.660000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:19:52.580000,0,0,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:25:00.380000,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-22 09:30:00.030000,0,0,4,800,0,0,4,800,0,0,0,0
2023-03-22 09:30:00.060000,1,100,0,0,0,0,0,0,0,0,0,0
2023-03-22 09:30:00.140000,1,900,21,4600,0,0,21,4600,1,900,0,0
2023-03-22 09:30:00.180000,1,100,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:30:00.310000,4,1000,0,0,0,0,0,0,0,0,0,0
2023-03-22 09:30:00.360000,1,100,0,0,0,0,0,0,0,0,0,0
2023-03-22 09:30:00.440000,1,100,0,0,0,0,0,0,0,0,0,0
2023-03-22 09:30:00.540000,0,0,0,0,0,0,0,0,0,0,1,100
2023-03-22 09:30:00.820000,0,0,0,0,0,0,0,0,0,0,1,100
2023-03-22 09:30:00.960000,3,200,0,0,0,0,0,0,0,0,0,0
2023-03-22 09:30:01.110000,2,100,0,0,1,100,0,0,0,0,0,0
2023-03-22 09:30:01.210000,1,100,0,0,0,0,0,0,0,0,0,0
2023-03-22 09:30:01.340000,5,494,1,3,1,100,1,3,5,494,1,99
2023-03-22 09:30:01.620000,1,100,0,0,0,0,1,100,0,0,0,0
2023-03-22 09:30:01.890000,0,0,0,0,0,0,2,100,0,0,0,0
2023-03-22 09:30:02.040000,0,0,0,0,1,100,0,0,0,0,1,100
2023-03-22 09:30:02.170000,0,0,0,0,0,0,1,100,0,0,0,0
2023-03-22 09:30:02.470000,0,0,0,0,1,100,0,0,0,0,1,200
2023-03-22 09:30:02.630000,0,0,0,0,0,0,3,300,0,0,0,0
