TradingTime,SecurityID,CommissionOrderNo,CommissionPx,COmmissionAmount,TradeMark,OrderCategory,CommissionNo,ChannelNo,SerialNo
2023-03-22 09:15:00,600519.0,7946.0,1755.55,100.0,B,A,79594.0,6.0,91514.0
2023-03-22 09:15:01,600519.0,22316.0,1641.0,100.0,B,A,79642.0,6.0,91562.0
2023-03-22 09:15:02,600519.0,38544.0,1681.21,100.0,B,A,79711.0,6.0,91631.0
2023-03-22 09:15:03,600519.0,53356.0,1740.02,100.0,B,A,79753.0,6.0,91673.0
2023-03-22 09:15:04,600519.0,66769.0,1830.0,100.0,S,A,79805.0,6.0,91725.0
2023-03-22 09:15:05,600519.0,78979.0,1730.0,100.0,B,A,79871.0,6.0,91791.0
2023-03-22 09:15:06,600519.0,92842.0,1827.89,200.0,S,A,79930.0,6.0,91850.0
2023-03-22 09:15:07,600519.0,105646.0,1860.0,1100.0,S,A,80014.0,6.0,91934.0
2023-03-22 09:15:08,600519.0,114597.0,1899.18,700.0,S,A,80085.0,6.0,92005.0
2023-03-22 09:15:09,600519.0,127776.0,1745.0,300.0,B,A,80184.0,6.0,92104.0
2023-03-22 09:15:10,600519.0,134086.0,1787.43,100.0,S,A,80225.0,6.0,92145.0
2023-03-22 09:15:11,600519.0,138447.0,1721.0,100.0,B,A,80249.0,6.0,92169.0
2023-03-22 09:15:12,600519.0,140968.0,1751.0,100.0,B,A,80268.0,6.0,92188.0
2023-03-22 09:15:13,600519.0,143303.0,1818.0,100.0,S,A,80288.0,6.0,92208.0
2023-03-22 09:15:14,600519.0,145367.0,1815.99,100.0,S,A,80324.0,6.0,92244.0
2023-03-22 09:15:15,600519.0,145666.0,1750.0,700.0,S,A,80325.0,6.0,92245.0
2023-03-22 09:15:17,600519.0,146159.0,1930.0,100.0,S,A,80329.0,6.0,92249.0
2023-03-22 09:15:18,600519.0,146281.0,1735.01,100.0,B,A,80332.0,6.0,92252.0
2023-03-22 09:15:19,600519.0,146351.0,1750.0,200.0,B,A,80333.0,6.0,92253.0
2023-03-22 09:15:21,600519.0,146529.0,1902.56,100.0,B,A,80334.0,6.0,92254.0
2023-03-22 09:15:25,600519.0,146979.0,1597.5,100.0,S,A,80335.0,6.0,92255.0
2023-03-22 09:15:27,600519.0,147176.0,1800.0,100.0,S,A,80336.0,6.0,92256.0
2023-03-22 09:15:28,600519.0,147260.0,1597.52,100.0,S,A,80337.0,6.0,92257.0
2023-03-22 09:15:30,600519.0,147661.0,1740.0,100.0,B,A,80341.0,6.0,92261.0
2023-03-22 09:15:34,600519.0,148149.0,1863.75,2800.0,B,A,80343.0,6.0,92263.0
2023-03-22 09:15:35,600519.0,147648.0,1597.5,100.0,B,D,80344.0,6.0,92264.0
2023-03-22 09:15:36,600519.0,148473.0,1863.75,100.0,B,A,80347.0,6.0,92267.0
2023-03-22 09:15:38,600519.0,148727.0,1787.88,100.0,S,A,80348.0,6.0,92268.0
2023-03-22 09:15:39,600519.0,148840.0,1789.0,100.0,S,A,80349.0,6.0,92269.0
2023-03-22 09:15:44,600519.0,146351.0,1750.0,200.0,B,D,80350.0,6.0,92270.0
2023-03-22 09:15:45,600519.0,149498.0,1820.0,200.0,S,A,80352.0,6.0,92272.0
2023-03-22 09:15:48,600519.0,149879.0,1765.55,100.0,B,A,80353.0,6.0,92273.0
2023-03-22 09:15:49,600519.0,149900.0,1767.0,100.0,B,A,80355.0,6.0,92275.0
2023-03-22 09:15:52,600519.0,150328.0,1750.0,100.0,B,A,80356.0,6.0,92276.0
2023-03-22 09:15:53,600519.0,150387.0,1902.56,1500.0,B,A,80357.0,6.0,92277.0
2023-03-22 09:15:57,600519.0,150857.0,1838.0,100.0,S,A,80358.0,6.0,92278.0
2023-03-22 09:15:59,600519.0,151027.0,1727.04,100.0,B,A,80360.0,6.0,92280.0
2023-03-22 09:16:00,600519.0,151193.0,1750.0,100.0,B,A,80361.0,6.0,92281.0
2023-03-22 09:16:01,600519.0,151213.0,1686.25,100.0,S,A,80362.0,6.0,92282.0
2023-03-22 09:16:02,600519.0,151354.0,1739.13,100.0,B,A,80364.0,6.0,92284.0
2023-03-22 09:16:04,600519.0,151597.0,1771.11,100.0,B,A,80365.0,6.0,92285.0
2023-03-22 09:16:05,600519.0,151722.0,1745.0,100.0,B,A,80366.0,6.0,92286.0
2023-03-22 09:16:07,600519.0,151913.0,1780.0,100.0,S,A,80367.0,6.0,92287.0
2023-03-22 09:16:12,600519.0,152342.0,1952.5,100.0,S,A,80368.0,6.0,92288.0
2023-03-22 09:16:15,600519.0,152604.0,1760.0,100.0,B,A,80369.0,6.0,92289.0
2023-03-22 09:16:16,600519.0,152687.0,1798.88,100.0,S,A,80370.0,6.0,92290.0
2023-03-22 09:16:17,600519.0,152802.0,1952.5,800.0,S,A,80371.0,6.0,92291.0
2023-03-22 09:16:20,600519.0,153091.0,1735.0,800.0,B,A,80372.0,6.0,92292.0
2023-03-22 09:16:22,600519.0,153280.0,1748.0,800.0,B,A,80374.0,6.0,92294.0
2023-03-22 09:16:29,600519.0,153818.0,1720.0,100.0,B,A,80377.0,6.0,92297.0
2023-03-22 09:16:31,600519.0,153982.0,1900.0,100.0,S,A,80378.0,6.0,92298.0
2023-03-22 09:16:34,600519.0,154221.0,1763.5,100.0,B,A,80379.0,6.0,92299.0
2023-03-22 09:16:35,600519.0,154269.0,1745.0,100.0,B,A,80380.0,6.0,92300.0
2023-03-22 09:16:38,600519.0,145666.0,1750.0,700.0,S,D,80381.0,6.0,92301.0
2023-03-22 09:16:41,600519.0,154709.0,1798.0,100.0,S,A,80382.0,6.0,92302.0
2023-03-22 09:16:45,600519.0,155160.0,1771.15,100.0,B,A,80384.0,6.0,92304.0
2023-03-22 09:16:46,600519.0,155188.0,1760.0,100.0,B,A,80385.0,6.0,92305.0
2023-03-22 09:16:50,600519.0,155585.0,1788.0,100.0,S,A,80386.0,6.0,92306.0
2023-03-22 09:16:52,600519.0,155751.0,1776.99,1200.0,S,A,80388.0,6.0,92308.0
2023-03-22 09:16:55,600519.0,153808.0,1780.0,400.0,B,D,80389.0,6.0,92309.0
2023-03-22 09:16:57,600519.0,156229.0,1771.15,100.0,B,A,80390.0,6.0,92310.0
2023-03-22 09:16:58,600519.0,156387.0,1765.0,100.0,B,A,80391.0,6.0,92311.0
2023-03-22 09:16:59,600519.0,156439.0,1748.0,100.0,B,A,80392.0,6.0,92312.0
2023-03-22 09:17:01,600519.0,156608.0,1741.88,100.0,B,A,80393.0,6.0,92313.0
2023-03-22 09:17:02,600519.0,156755.0,1731.0,100.0,B,A,80394.0,6.0,92314.0
2023-03-22 09:17:03,600519.0,156838.0,1723.95,100.0,B,A,80395.0,6.0,92315.0
2023-03-22 09:17:08,600519.0,157345.0,1748.16,100.0,B,A,80398.0,6.0,92318.0
2023-03-22 09:17:10,600519.0,157579.0,1800.0,100.0,S,A,80399.0,6.0,92319.0
2023-03-22 09:17:14,600519.0,157912.0,1755.0,100.0,B,A,80400.0,6.0,92320.0
2023-03-22 09:17:15,600519.0,158045.0,1760.0,100.0,B,A,80401.0,6.0,92321.0
