SecurityID,TradingTime,TradePx,TradeAmount,TradeValue,OrderNo,OfferNo,TradeNo,ChannelCode,SBMark,SerialNo,SendingTime
600519,20230320092500800,1751.0,15,26265.0,201191,178165,14769,6,N,107470,20230320092501
600519,20230320092500800,1751.0,85,148835.0,205638,178165,14770,6,N,107471,20230320092501
600519,20230320092500800,1751.0,15,26265.0,205638,194200,14771,6,N,107472,20230320092501
600519,20230320092500800,1751.0,85,148835.0,208736,194200,14772,6,N,107473,20230320092501
600519,20230320092500800,1751.0,15,26265.0,208736,218791,14773,6,N,107474,20230320092501
600519,20230320092500800,1751.0,400,700400.0,211186,218791,14774,6,N,107475,20230320092501
600519,20230320092500800,1751.0,100,175100.0,218596,218791,14775,6,N,107476,20230320092501
600519,20230320092500800,1751.0,85,148835.0,214762,218791,14776,6,N,107477,20230320092501
600519,20230320092500800,1751.0,100,175100.0,214762,199631,14777,6,N,107478,20230320092501
600519,20230320092500800,1751.0,15,26265.0,214762,200851,14778,6,N,107479,20230320092501
600519,20230320092500800,1751.0,85,148835.0,190880,200851,14779,6,N,107480,20230320092501
600519,20230320092500800,1751.0,15,26265.0,190880,201074,14780,6,N,107481,20230320092501
600519,20230320092500800,1751.0,85,148835.0,192602,201074,14781,6,N,107482,20230320092501
600519,20230320092500800,1751.0,15,26265.0,192602,205307,14782,6,N,107483,20230320092501
600519,20230320092500800,1751.0,100,175100.0,202105,205307,14783,6,N,107484,20230320092501
600519,20230320092500800,1751.0,100,175100.0,208606,205307,14784,6,N,107485,20230320092501
600519,20230320092500800,1751.0,185,323935.0,212697,205307,14785,6,N,107486,20230320092501
600519,20230320092500800,1751.0,100,175100.0,212697,206667,14786,6,N,107487,20230320092501
600519,20230320092500800,1751.0,100,175100.0,212697,172997,14787,6,N,107488,20230320092501
600519,20230320092500800,1751.0,100,175100.0,212697,190516,14788,6,N,107489,20230320092501
600519,20230320092500800,1751.0,100,175100.0,212697,180697,14789,6,N,107490,20230320092501
600519,20230320092500800,1751.0,100,175100.0,212697,200121,14790,6,N,107491,20230320092501
600519,20230320092500800,1751.0,100,175100.0,212697,184278,14791,6,N,107492,20230320092501
600519,20230320092500800,1751.0,15,26265.0,212697,160181,14792,6,N,107493,20230320092501
600519,20230320092500800,1751.0,85,148835.0,215186,160181,14793,6,N,107494,20230320092501
600519,20230320092500800,1751.0,100,175100.0,215186,167460,14794,6,N,107495,20230320092501
