SecurityID,TradingTime,CommissionOrderNo,CommissionPx,COmmissionAmount,TradeMark,OrderCategory,CommissionNo,ChannelNo,SerialNo
600519,20230320091500000,22,1600.77,100,B,A,91247,6,105953
600519,20230320091500190,698,1911.0,200,S,A,91248,6,105954
600519,20230320091500190,823,1650.77,100,B,A,91249,6,105955
600519,20230320091500190,855,1844.0,100,S,A,91250,6,105956
600519,20230320091500190,856,1774.0,100,S,A,91251,6,105957
600519,20230320091500260,1203,1700.0,100,B,A,91252,6,105958
600519,20230320091500260,1324,1783.99,100,S,A,91253,6,105959
600519,20230320091500290,1634,1850.0,100,S,A,91254,6,105960
600519,20230320091500330,1972,1715.0,100,B,A,91255,6,105961
600519,20230320091500330,2010,1790.0,100,S,A,91256,6,105962
600519,20230320091500380,2574,1718.0,100,B,A,91257,6,105963
600519,20230320091500410,3413,1800.0,100,S,A,91258,6,105964
600519,20230320091500510,3653,1765.0,100,S,A,91259,6,105965
600519,20230320091500510,4202,1852.53,100,S,A,91260,6,105966
600519,20230320091500510,4203,1899.0,100,S,A,91261,6,105967
600519,20230320091500510,4204,1815.3,100,S,A,91262,6,105968
600519,20230320091500510,4205,1837.3,100,S,A,91263,6,105969
600519,20230320091500510,4206,1859.3,100,S,A,91264,6,105970
600519,20230320091500510,4207,1881.3,100,S,A,91265,6,105971
600519,20230320091500510,4298,1870.0,400,S,A,91266,6,105972
600519,20230320091500510,4369,1800.0,1300,S,A,91267,6,105973
600519,20230320091500510,4370,1800.0,1900,S,A,91268,6,105974
600519,20230320091500510,5524,1760.0,100,S,A,91269,6,105975
600519,20230320091500610,5836,1725.0,100,B,A,91270,6,105976
600519,20230320091500610,5945,1756.0,100,S,A,91271,6,105977
600519,20230320091500610,6405,1797.74,100,S,A,91272,6,105978
600519,20230320091500610,6406,1828.44,100,S,A,91273,6,105979
600519,20230320091500610,6594,1770.0,100,S,A,91274,6,105980
600519,20230320091500610,6750,1771.0,100,S,A,91275,6,105981
600519,20230320091500610,7012,1807.77,100,S,A,91276,6,105982
